area,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
0-4 ปี,0,1,1,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-9 ปี,1,0,1,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-14 ปี,2,17,19,0,2,2,10.53,0,3,3,15.79,2,9,11,57.89,0,3,3,15.79,0,0,0,0
15-19 ปี,2,12,14,0,3,3,21.43,0,4,4,28.57,2,5,7,50,0,0,0,0,0,0,0,0
20-24 ปี,0,8,8,0,0,0,0,0,1,1,12.5,0,5,5,62.5,0,2,2,25,0,0,0,0
25-29 ปี,4,6,10,2,0,2,20,2,4,6,60,0,2,2,20,0,0,0,0,0,0,0,0
30-34 ปี,2,5,7,0,0,0,0,0,0,0,0,0,2,2,28.57,2,3,5,71.43,0,0,0,0
35-39 ปี,1,4,5,0,1,1,20,1,2,3,60,0,1,1,20,0,0,0,0,0,0,0,0
40-44 ปี,0,3,3,0,3,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45-49 ปี,2,1,3,0,1,1,33.33,1,0,1,33.33,1,0,1,33.33,0,0,0,0,0,0,0,0
50-54 ปี,1,1,2,0,0,0,0,0,0,0,0,1,1,2,100,0,0,0,0,0,0,0,0
55-59 ปี,0,1,1,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0
60-64 ปี,1,1,2,0,0,0,0,1,0,1,50,0,1,1,50,0,0,0,0,0,0,0,0
65-69 ปี,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70-74 ปี,0,1,1,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75-79 ปี,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80-84 ปี,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85-89 ปี,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90-94 ปี,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95-99 ปี,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100 ปีขึ้นไป,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
คำนวนอายุไม่ได้,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
รวม,16,61,77,3,12,15,19.48,5,14,19,24.68,6,27,33,42.86,2,8,10,12.99,0,0,0,0
